drug1_id,drug2_id,drug1_name,drug2_name,interaction_type,matched_toxicity_types,ddinter_severity,ddinter_interaction,ddinter_management
DB00014,DB00390,Goserelin,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity,Unknown,-,-
DB00014,DB00511,Goserelin,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity,,,
DB00014,DB01078,Goserelin,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity,,,
DB00014,DB01092,Goserelin,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity,,,
DB00014,DB01396,Goserelin,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity,,,
DB00014,DB00531,Goserelin,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity,Unknown,-,-
DB00091,DB00529,Cyclosporine,Foscarnet,nephrotoxic activities,nephrotoxic activities,nephrotoxicity,Major,"Renal failure risk may be increased in patients on foscarnet and cyclosporine therapy. The mechanism may be due to additive or synergistic nephrotoxicity. In two reported cases, cyclosporine concentrations remained within the therapeutic range and renal function returned to normal after discontinuation of the foscarnet.","The manufacturer recommends avoiding the concurrent use of other nephrotoxic drugs during foscarnet therapy. If these agents are used concomitantly, consider close observation of renal function and discontinue foscarnet treatment if needed."
DB00091,DB13783,Cyclosporine,Acemetacin,risk or severity of renal failure,risk or severity of renal failure,nephrotoxicity,,,
DB00091,DB00864,Cyclosporine,Tacrolimus,nephrotoxic activities,nephrotoxic activities,nephrotoxicity,Major,"Coadministration of tacrolimus and cyclosporine may increase the risk and severity of nephrotoxicity due to additive effects on the kidney. Clinical experience indicates that the combination is associated with increased renal toxicity as evidenced by increased serum creatinine and decreased glomerular filtration rate. In vitro and animal data also suggest that tacrolimus may inhibit the intestinal first-pass metabolism of cyclosporine via CYP450 3A4, resulting in significantly increased bioavailability of the latter.","To avoid undue nephrotoxicity, tacrolimus and cyclosporine should not be used simultaneously. Tacrolimus or cyclosporine should be discontinued for at least 24 hours prior to initiating the other. In the presence of elevated tacrolimus or cyclosporine concentrations, dosing with the other drug usually should be further delayed."
DB00091,DB00624,Cyclosporine,Testosterone,hepatotoxic activities,hepatotoxic activities,hepatotoxicity,Moderate,Coadministration with androgens or anabolic steroids may increase the blood concentrations of cyclosporine. The exact mechanism of interaction is unknown but may involve competitive inhibition of the CYP450 3A4 metabolism of cyclosporine.,"Caution is advised if cyclosporine is prescribed with androgens or anabolic steroids. Cyclosporine blood levels, renal function, and liver function tests should be monitored frequently and the dosage adjusted accordingly, particularly following initiation, discontinuation or change of androgen dosage in patients who are stabilized on their cyclosporine regimen. Patients should be advised to notify their physician if they experience possible signs of cyclosporine toxicity such as nausea, vomiting, diarrhea, abdominal pain, dizziness, fatigue, headache, tremors, and convulsions."
