drug1_id,drug2_id,drug1_name,drug2_name,interaction_type,matched_toxicity_types,interaction_type_normalized
DB00014,DB00390,Goserelin,Digoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00014,DB00511,Goserelin,Acetyldigitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00014,DB01078,Goserelin,Deslanoside,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00014,DB01092,Goserelin,Ouabain,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00014,DB01396,Goserelin,Digitoxin,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00014,DB00531,Goserelin,Cyclophosphamide,cardiotoxic activities,cardiotoxic activities,cardiotoxicity
DB00091,DB00529,Cyclosporine,Foscarnet,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB13783,Cyclosporine,Acemetacin,risk or severity of renal failure,risk or severity of renal failure,nephrotoxicity
DB00091,DB00864,Cyclosporine,Tacrolimus,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00624,Cyclosporine,Testosterone,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00091,DB01185,Cyclosporine,Fluoxymesterone,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00091,DB01420,Cyclosporine,Testosterone propionate,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00091,DB01406,Cyclosporine,Danazol,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00091,DB13943,Cyclosporine,Testosterone cypionate,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00091,DB13944,Cyclosporine,Testosterone enanthate,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00091,DB13946,Cyclosporine,Testosterone undecanoate,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00091,DB00621,Cyclosporine,Oxandrolone,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00091,DB06412,Cyclosporine,Oxymetholone,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00091,DB06718,Cyclosporine,Stanozolol,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00091,DB06710,Cyclosporine,Methyltestosterone,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00091,DB08804,Cyclosporine,Nandrolone decanoate,hepatotoxic activities,hepatotoxic activities,hepatotoxicity
DB00091,DB00636,Cyclosporine,Clofibrate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01241,Cyclosporine,Gemfibrozil,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01393,Cyclosporine,Bezafibrate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB08983,Cyclosporine,Etofibrate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB13873,Cyclosporine,Fenofibric acid,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB01039,Cyclosporine,Fenofibrate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB09064,Cyclosporine,Ciprofibrate,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00465,Cyclosporine,Ketorolac,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00586,Cyclosporine,Diclofenac,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00712,Cyclosporine,Flurbiprofen,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB00963,Cyclosporine,Bromfenac,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
DB00091,DB06802,Cyclosporine,Nepafenac,nephrotoxic activities,nephrotoxic activities,nephrotoxicity
