drug_1_concept_name,drug_2_concept_name,condition_concept_name,PRR
Temazepam,sildenafil,Toxicity to various agents,2.5
POLYETHYLENE GLYCOL 3350,Hydroxychloroquine,Toxicity to various agents,2.5
Temazepam,sildenafil,Drug toxicity,2.0
Temazepam,sildenafil,Therapeutic agent toxicity,30.0
Temazepam,sildenafil,Drug toxicity,2.0
Temazepam,sildenafil,Therapeutic agent toxicity,30.0
Temazepam,sildenafil,Toxicity to various agents,2.5
POLYETHYLENE GLYCOL 3350,Hydroxychloroquine,Toxicity to various agents,2.5
Tamoxifen,Prednisone,Hepatotoxicity,5.0
Tamoxifen,Prednisone,Drug toxicity,2.5Cyclosporine
Tamoxifen,Prednisone,Toxicity to various agents,2.5
Promethazine,Fluconazole,Drug toxicity,1.15385
Promethazine,Fluconazole,Neurotoxicity,4.0
Promethazine,Fluconazole,Therapeutic agent toxicity,25.0
Promethazine,Fluconazole,Toxicity to various agents,1.42857
Levetiracetam,Buprenorphine,Drug toxicity,1.66667
Levetiracetam,Buprenorphine,Therapeutic agent toxicity,5.0
Levetiracetam,Buprenorphine,Toxicity to various agents,2.59259
fexofenadine,Triamcinolone,Neurotoxicity,5.0
fexofenadine,Triamcinolone,Therapeutic agent toxicity,5.0
fexofenadine,Triamcinolone,Toxicity to various agents,1.03448
Petrolatum,Metoprolol,Drug toxicity,5.0
Paroxetine,Epoetin Alfa,Cardiotoxicity,10.0
Paroxetine,Epoetin Alfa,Drug toxicity,1.25
Paroxetine,Epoetin Alfa,Toxicity to various agents,2.5
meloxicam,Sodium Oxybate,Toxicity to various agents,3.33333
Buprenorphine,Dobutamine,Drug toxicity,10.0
fingolimod,Progesterone,Toxicity to various agents,5.0
Etanercept,Metoclopramide,Drug toxicity,6.66667
Ibuprofen,Ergocalciferol,Hepatotoxicity,6.66667
brotizolam,cloxazolam,Toxicity to various agents,2.5
Diclofenac,Sulfamethoxazole,Hepatotoxicity,2.5
Diclofenac,Sulfamethoxazole,Drug toxicity,2.22222
Diclofenac,Sulfamethoxazole,Neurotoxicity,3.33333
Diclofenac,Sulfamethoxazole,Toxicity to various agents,2.30769
Azithromycin,exenatide,Toxicity to various agents,20.0
Metoprolol,arformoterol,Toxicity to various agents,10.0
Triamterene,Vancomycin,Toxicity to various agents,10.0
Amlodipine,basiliximab,Therapeutic agent toxicity,5.0
Amlodipine,basiliximab,Toxicity to various agents,16.6667
Enalapril,Methimazole,Toxicity to various agents,2.5
Dalteparin,Oxycodone,Hepatotoxicity,10.0
Dalteparin,Oxycodone,Drug toxicity,5.0
